iteration,quality,true,false,unknown,none,bucket_0-1,bucket_1-5,bucket_5-10,bucket_10-20,bucket_20-30,bucket_30-50,bucket_50-70,bucket_70-80,bucket_80-90,bucket_90-95,bucket_95-99,bucket_99-100,d_prepare,d_expand,d_remove,d_sort,d_leak,d_total,n_components,n_vertices,n_edges
1,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,747190,41203773,38242,16617,384,42006206,22,3,2
2,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,42630,380288,26475,12561,307,462261,48,6,6
3,0.0,0.0,0.0,0.0,1.0,0.6,0.0,0.0,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,51522,489602,53362,20697,406,615589,84,10,12
4,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,74152,602024,73753,17273,395,767597,130,15,20
5,0.0,0.0,0.0,0.0,1.0,0.6,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,47513,674418,53745,14705,16439,806820,134,15,18
6,0.0,0.0,0.0,0.0,1.0,0.5333333333333333,0.2,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,49009,814639,51960,15887,4089,935584,138,15,16
7,0.0,0.0,0.0,0.0,1.0,0.6,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,38603,1132099,120808,23522,5844,1320876,138,15,14
8,0.0,0.0,0.0,0.0,1.0,0.6,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,67123,1033494,88527,17527,4195,1210866,138,15,12
9,0.0,0.0,0.0,0.0,1.0,0.6,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,33948,975034,87415,26426,6273,1129096,138,15,10
10,0.0,0.0,0.0,0.0,1.0,0.6,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,34806,2578418,39373,19031,4979,2676607,138,15,8
11,0.0,0.0,0.0,0.0,1.0,0.6,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,25736,863960,41012,19749,5170,955627,142,15,6
12,0.0,0.0,0.0,0.0,1.0,0.6,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,26141,1140549,75766,29332,7943,1279731,142,15,4
13,0.0,0.0,0.0,0.0,1.0,0.6,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,43834,1170290,51030,26358,5885,1297397,146,15,2
14,0.0,0.0,0.0,0.0,1.0,0.6,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,30162,1605283,43540,31246,6259,1716490,146,15,0
15,0.0,0.0,0.0,3.0517578125E-5,0.999969482421875,0.6,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,22686,2995850,55527,33775,19571,3127409,146,15,0
16,0.0,0.0,0.0,4.57763671875E-5,0.9999542236328125,0.6,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,23803,897503,30239,21151,10009,982705,146,15,0
17,0.0,0.0,0.0,6.103515625E-5,0.99993896484375,0.6,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,23058,1050780,29966,12274,4455,1120533,146,15,0
18,0.0,0.0,0.0,7.62939453125E-5,0.9999237060546875,0.6,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,20788,953771,28478,24745,8331,1036113,146,15,0
19,0.0,0.0,0.0,9.1552734375E-5,0.999908447265625,0.6,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,31982,4587960,43656,13085,4514,4681197,146,15,0
20,0.0,0.0,0.0,1.068115234375E-4,0.9998931884765625,0.6,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,22200,1171303,24987,11493,6440,1236423,146,15,0
